 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Parallel Algorithm Span References,Parallel Algorithm Work,Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,,,,,,,,,,,odd-even sort - Batcher,1968,https://dl.acm.org/doi/abs/10.1145/1468075.1468121,,,,,,,,O(log^2(n)),O(log^2(n)),,O(nlog^4(n)),,,n: size of list,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167,,sorting network,,,,,,,,,,,,,,1,O(n log^2(n)),,,"first found in https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1675167 
mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf)
classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329
also https://link.springer.com/chapter/10.1007/BFb0028577",,,1,n is the size of the array to be sorted.,,,,,,,,99,10101.0101,,,,,,,,4,,,Combinatorics
1,Sorting,1,,,,,,,,,,,bitonic sort - Batcher,1968,https://dl.acm.org/doi/abs/10.1145/1468075.1468121,,,,,,,,O(log^2(n)),O(log^2(n)),,O(nlog^4(n)),,,n: size of list,,,,sorting network,,,,,,,,,,,,,,1,O(n log^2(n)),,,"mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref
also https://link.springer.com/chapter/10.1007/BFb0028577",,,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,1,,,,,,,1.39(n+1)log n - 2.85n +2.15,,,,SampleSort,1970,https://dl.acm.org/doi/abs/10.1145/321592.321600,,,,,,,,O(nlogn),O(logn),,O(nlogn),,,,,,,sorting network,,,,,,,,,1,,,,,1,varies,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"network sorting algo, perfect shuffle",,,,,,,,Stone,1971,https://ieeexplore.ieee.org/abstract/document/1671798,,,,,,,,O(log^2(n)),O(logn),,O(nlogn),,,,,https://ieeexplore.ieee.org/abstract/document/1671798,,sorting network,,,,,,,,,,,,,,,n/2,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,"n-sorter network, generalization of divide-sort-merge strategy",,,,,,,,Van Voorhis,1971,https://apps.dtic.mil/sti/citations/AD0737270,,,,,,,,O(log^2(n)),O(log^2(n)),,O(nlog^4(n)) ??,,,,,https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref,,sorting network,,,,,,,,,,,,,,1,0.25nlog^2(n)-0.372nlog(n)+O(n),,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,19,,,1,1,O(n²),Any distribution,Same general behavior across inputs,[https://www.semanticscholar.org/paper/Parallel-Neighbor-Sort-(or-the-Glory-of-the-Habermann/bc7b6efb99aae6225239425747fd0169a51f30ce Odd Even Sort Parallel  Implementation // parallel neighborhood sort - Habermann (1972)],Odd Even Sort Parallel  Implementation // parallel neighborhood sort - Habermann,1972,https://www.semanticscholar.org/paper/Parallel-Neighbor-Sort-(or-the-Glory-of-the-Habermann/bc7b6efb99aae6225239425747fd0169a51f30ce,,,,0,0,5,n: 5,O(n^2/p),$O(n)$,https://www.semanticscholar.org/paper/Parallel-Neighbor-Sort-(or-the-Glory-of-the-Habermann/bc7b6efb99aae6225239425747fd0169a51f30ce,$O(n^2)$,https://www.semanticscholar.org/paper/Parallel-Neighbor-Sort-(or-the-Glory-of-the-Habermann/bc7b6efb99aae6225239425747fd0169a51f30ce,yes (compares to quicksort),n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ,0,1,,0,,0,,0,1,"p, at most O(n)",0,0,"https://en.wikipedia.org/wiki/Odd%E2%80%93even_sort ;
on implementation: https://www.sciencedirect.com/science/article/pii/0167819186900098",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,1,,,,,,,,,,,Shellsort on sorting networks- Pratt,1972,https://apps.dtic.mil/sti/citations/AD0740110 (pdf page 42 ish),1/1.58,,https://apps.dtic.mil/sti/citations/AD0740110,,,,,O(log^2(n)),O(log^2(n)),,$O(n\lg^2(n))$,,,,,,,sorting network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,external parallel sorting,,,,,,,,parallel tape sort - Even (1),1974,https://dl.acm.org/doi/abs/10.1145/360924.360941,,,,,,,,O(n/p log n + n),O(n),,O(n log n + np),,yes,"n: size of list
p: number of processors",,,,"""external sorting"" ?",,,,,,,,,,,,,,1,p,,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,,,external parallel sorting,,,,,,,,parallel tape sort - Even (2),1974,https://dl.acm.org/doi/abs/10.1145/360924.360941,,,,,,,,O(n),O(n),,O(nlog(n)),,yes,n: size of list,,,,"""external sorting"" ?",,,,,,,,,,,,,,1,O(log(n)),,,mentioned in https://dl.acm.org/doi/abs/10.1145/2514.2516#sec-ref; https://link.springer.com/chapter/10.1007/978-94-009-5315-4_5 (paper starts p184 in pdf),,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Parallel Neighborhood sort - Baudet, Stevenson",1975,https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,,,,,,,,"O(n log(n)/k +n)
or O(n) if k=log n",O(n),,O(n log n),https://kilthub.cmu.edu/articles/Optimal_sorting_algorithms_for_parallel_computers/6608162/files/12099023.pdf,"if k=log n
""optimal"" - 
speedup=k
efficiency=1","n: size of list
k: number of processors",,,,SIMD,,,,,,,,,,,,,,1,k=log n,,,,,,,,,,,,,,,,,,,,,,,,,,,
