Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Total Communication,Units of Communication (eg messages vs bits),Total Comm Refrence,Communication Rounds,Rounds Refrence,Computation Time Complexity,Time Refrence,Parameter definitions,Preferred Parameter,Computational Model,Asynchronous or Scyncronous?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Lower Bound Runtime,Lower Bound Reference,Heuristic-based?,Quantum?,GPU-based?,Other References,"Algorithm family
parameters",Description of Inputs,Upper Bound Runtime,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Domains
,,,,,,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N: number of processes in the system. These messages involve (N-1) request messages, (N-1) reply messages, and (N-1) release messages. E: Edges
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorting,,,,The ith processor has n keys and wants to receive the ith batch of n keys after all the keys are combined and sorted,,,,,,https://dl.acm.org/doi/abs/10.1145/1993806.1993851,,,2011,,,,,,,,,,,,O(loglogn),,,,,,CONGESTED CLIQUE,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorting,,,,The ith processor has n keys and wants to receive the ith batch of n keys after all the keys are combined and sorted,,,,,,https://dl.acm.org/doi/abs/10.1145/2484239.2501983,,,2013,,,,,,,,,,,,O(1),,,,,,CONGESTED CLIQUE,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,In a ring,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/800221.806718,,,1983,,,,,,,,,,,,O(n),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,In a mesh,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/800221.806718,,,1983,,,,,,,,,,,,O(sqrt(n)),,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/800221.806717,,,1983,,,,,,,,,,,,O(Dn^09114),https://dl.acm.org/doi/pdf/10.1145/1248377.1248401,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/800221.806717,,,1983,,,,,,,,,,,,O(Dlog(n)) expected,https://dl.acm.org/doi/pdf/10.1145/1248377.1248401,,,,,CONGEST,,Yes,LV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://ieeexplore.ieee.org/abstract/document/588617,,,1997,,,,,,,,,O(n^2),messages,,?,,,,,,CONGEST,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/1248377.1248401,,,2007,,,,,,,,,,,,O(Dlog_D(n)),,,,,,CONGEST,,Yes,LV,No,,omega(Dlog_D(n)),https://dl.acm.org/doi/abs/10.1145/1248377.1248401,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kth Order Statistic,,,,Every processor has a number .. some processor wants to find the kth smallest number,,,,,,https://dl.acm.org/doi/abs/10.1145/1248377.1248401,,,2007,,,,,,,,,,,,O(D(log_D(n)^2)),,,,,,CONGEST,,No,,No,,omega(Dlog_D(n)),https://dl.acm.org/doi/abs/10.1145/1248377.1248401,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Coloring Rooted Trees,1,,,Coloring a rooted tree with 3 colors with no node getting the same color as its parent,,,,,,"Proceedings of the twenty-fifth annual ACM symposium on Theory of computing, pages 201–207. ACM, 1993","[Proceedings of the twenty-fifth annual ACM symposium on Theory of computing, pages 201–207. ACM, 1993. 3-Coloring rooted trees (1993)]",3-Coloring rooted trees,1993,"Proceedings of the twenty-fifth annual ACM symposium on Theory of computing, pages 201–207. ACM, 1993.","k > C0 where k
0 = log k +
log log k/2 + 1.",yes,,,,,,,,,1 /2 log∗ n − O(1),"Proc. of the Symp. on Found. of Comp. Sci. (FOCS), pages 331–335. IEEE, 1987",,,"N: number of graph nodes
E: number of edges k = coloring k' = new coloring",,Local,,Can be,Ramsey Theory,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Deterministic Coloring of General Graphs
",1,"Linial's coloring algorithm
",,obtain (∆^2)-coloring of the graphs where ∆ denotes the maximum degree. Greedy algorithm,,,,,,"Nathan Linial. Locality in distributed graph algorithms. SIAM Journal on Computing, 21(1):193–201, 1992. and Nathan Linial. Locality in distributed graph algorithms. SIAM Journal on Computing, 21(1):193–201, 1992. ","[Nathan Linial. Distributive graph algorithms global solutions
from local data. In Proc. of the Symp. on Found. of Comp. Sci.
(FOCS), pages 331–335. IEEE, 1987. Linial's coloring algorithm
 (1987)]","Linial's coloring algorithm
",1987,"Nathan Linial. Distributive graph algorithms global solutions
from local data. In Proc. of the Symp. on Found. of Comp. Sci.
(FOCS), pages 331–335. IEEE, 1987.","maximum degree ∆,",yes,,,,,,,,,O(log∗ n) ,"Nathan Linial. Distributive graph algorithms global solutions
from local data. In Proc. of the Symp. on Found. of Comp. Sci.
(FOCS), pages 331–335. IEEE, 1987.","O(∆^2 log k) Furthermore, if k' << ∆ 3 , then the bound can be improved to O(∆ 2 ).",,"N: number of graph nodes
E: number of edges k = coloring k' = new coloring ∆= maximum degree φ: k-coloring graph",,Local,,,,,,Ω(log∆ n),,,,,,,,"
O(log n)",,,,,,,,,,,,,,,,,,,
,Delta+1 Vertex Coloring,1,Kuhn-Wattenhofer Coloring Algorithm,,obtain  O(∆ log ∆ + log∗ n ) for a  O(∆ log ∆) -coloring of the graphs where ∆ denotes the maximum degree. ,,,,,,"Fabian Kuhn and Rogert Wattenhofer. On the complexity of distributed graph coloring. In Proceedings of the twenty-fifth annual ACM symposium on Principles of distributed computing, pages 7–15. ACM, 2006.","[Fabian Kuhn and Rogert Wattenhofer. On the complexity of distributed graph coloring. In Proceedings of the twenty-fifth annual ACM symposium on Principles of distributed computing, pages 7–15. ACM, 2006. Kuhn-Wattenhofer Coloring Algorithm (2006)]",Kuhn-Wattenhofer Coloring Algorithm,2006,"Fabian Kuhn and Rogert Wattenhofer. On the complexity of distributed graph coloring. In Proceedings of the twenty-fifth annual ACM symposium on Principles of distributed computing, pages 7–15. ACM, 2006.",,,,,,,,,,,O(∆ log ∆),"Fabian Kuhn and Rogert Wattenhofer. On the complexity of distributed graph coloring. In Proceedings of the twenty-fifth annual ACM symposium on Principles of distributed computing, pages 7–15. ACM, 2006.",O(∆ log( k ∆+1 )),,N: number of graph nodes E: number of edges k = coloring k' = new coloring ∆= maximum degree φ: k-coloring graph,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delta+1 Vertex Coloring,1,Kuhn’s Algorithm via Defective Coloring,,obtain O(∆ + log∗ n ) for a O(∆ log ∆) -coloring of the graphs where ∆ denotes the maximum degree.,,,,,,"Fabian Kuhn. Weak graph colorings: distributed algorithms and applications. In Proceedings of the twenty-first annual symposium on Parallelism in algorithms and architectures, pages 138–144. ACM, 2009.","[Fabian Kuhn. Weak graph colorings: distributed algorithms and applications. In Proceedings of the twenty-first annual symposium on Parallelism in algorithms and architectures, pages 138–144. ACM, 2009. Kuhn’s Algorithm via Defective Coloring (2009)]",Kuhn’s Algorithm via Defective Coloring,2009,"Fabian Kuhn. Weak graph colorings: distributed algorithms and applications. In Proceedings of the twenty-first annual symposium on Parallelism in algorithms and architectures, pages 138–144. ACM, 2009.",C - sufficiently large,,,,,,,,,,O(∆ + log∗ n) ,"Fabian Kuhn. Weak graph colorings: distributed algorithms and applications. In Proceedings of the twenty-first annual symposium on Parallelism in algorithms and architectures, pages 138–144. ACM, 2009.",O((∆−d/ d'−d+1)^2 log k),None,N: number of graph nodes E: number of edges k = coloring k' = new coloring ∆= maximum degree φ: d-defective k-coloring graph,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Recursive function call using Master's Theorem: T(∆) = O(log∗ ∆) + T(∆/2) + O(∆).",
,Delta+1 Vertex Coloring,1,Barenboim,,Coloring the vertices of a graph with Delta+1 colors (where Delta is the max degree) such that no adjacent vertices get the same color,,,,,,"] Leonid Barenboim. Deterministic (δ+ 1)-coloring in sublinear (in δ) time in static, dynamic and faulty networks. In Proceedings of the 2015 ACM Symposium on Principles of Distributed Computing, pages 345–354. ACM, 2015.","[] Leonid Barenboim. Deterministic (δ+ 1)-coloring in sublinear (in δ) time in static, dynamic and faulty networks. In Proceedings of the 2015 ACM Symposium on Principles of Distributed Computing, pages 345–354. ACM, 2015. Barenboim (2015)]",Barenboim,2015,"] Leonid Barenboim. Deterministic (δ+ 1)-coloring in sublinear (in δ) time in static, dynamic and faulty networks. In Proceedings of the 2015 ACM Symposium on Principles of Distributed Computing, pages 345–354. ACM, 2015.",,,,,,,,,,,O(∆ 3/4 log ∆ + log∗ n),"] Leonid Barenboim. Deterministic (δ+ 1)-coloring in sublinear (in δ) time in static, dynamic and faulty networks. In Proceedings of the 2015 ACM Symposium on Principles of Distributed Computing, pages 345–354. ACM, 2015.",,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2Delta-1 Edge Coloring,0.001,,,Coloring the edges of a graph with 2Delta-1 colors (where Delta is the max degree) such that no adjacent edges get the same color,,,,,,,[  ()],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
